objectid,filename,title,creator,date,description,subject,type,format,filesize,date_created,rights,rightsstatement
coll001,001.jpg,Yennifer with Blue Yarn,"Burba, Elisa",2025-03-26,"A photo of a tortoiseshell cat, tangled in blue yarn. The cat appears upside down to the viewer, and its teeth are visible.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,552 KB,2025-03-26 8:21:06 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll002,002.jpg,Elizabethan Yennifer,"Burba, Elisa",2025-01-12,"A photo of a tortoiseshell cat, wearing a crocheted Elizabethan style ruffle collar. The cat is sitting in a wicker basket with a fluffy pillow.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,1.3 MB,2025-01-12 10:50:05 AM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll003,003.jpg,Yennifer in the Laundry Hamper,"Burba, Elisa",2024-11-09,A photo of a tortoiseshell cat sitting in a cream and black laundry hamper. Next to the hamper is a pile of laundry that the cat has displaced.,"cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,446 KB,2024-11-09 10:03:25 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll004,004.jpg,Yennifer in her Halloween Costume,"Burba, Elisa",2024-10-25,"A photo of a tortoiseshell cat sitting in a loaf position on a black and white rug. The photo is very zoomed in and slightly blurry. The cat is wearing an orange, fluffy costume of a monster with shiny blue spines, purple horns, and big eyeballs.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,2.3 MB,2024-10-25 7:53:08 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll005,005.jpg,Yennifer Meowing,"Burba, Elisa",2024-07-30,"A photo of a tortoiseshell cat standing on the edge of a kitchen sink. The cat’s mouth is slightly open as if meowing, and its bottom teeth are visible.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,1 MB,2024-07-30 5:10:06 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll006,006.jpg,Yennifer on the Roof,"Burba, Elisa",2024-06-12,"A photo of a tortoiseshell cat sitting on top of two gray boxes. These boxes are on top of dark brown cabinet. The photo is zoomed in and slightly blurry, leaving the cat looking slightly strange. The cat’s eyes are open wide, and its bottom teeth are slightly showing.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,442 KB,2024-06-12 3:15:52 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll007,007.jpg,Yennifer on the Laundry Rack,"Burba, Elisa",2024-03-24,"A photo of a tortoiseshell cat hanging off of a white drying rack. The cat’s tail is in motion, implying that it has been climbing the rack. One of its back legs is pressed against the side of the drying rack while the other back leg is pulled up to the top of the drying rack. Its two front paws are wrapped around the corner of the rack.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,4.4 MB,2024-03-24 7:12:02 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll008,008.jpg,Yennifer Yawning,"Burba, Elisa",2024-01-11,"A photo of a tortoiseshell cat yawning widely. It sits in a wicker basket with a tan heating pad underneath it. Its eyes are closed, and all of its teeth are visible.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,313 KB,2024-01-11 3:03:36 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll009,009.jpg,Yennifer the Vampire,"Burba, Elisa",2023-10-23,"A photo of a tortoiseshell cat wearing a vampire costume and a collar. The costume is a black cape with a wide red collar that sticks out around the cat’s face. It also wears a pink collar with blue name tags. The cat is standing on a kitchen counter, looking up into the camera.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,1.2 MB,2023-10-23 6:06:15 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll010,010.jpg,Yennifer on the Blinds,"Burba, Elisa",2023-09-12,A photo of a tortoiseshell cat standing on top of white window blinds. The cat is looking up at the air vent in the ceiling.,"cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,1.2 MB,2023-09-12 8:21:13 AM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll011,011.jpg,Yennifer's Belly,"Burba, Elisa",2023-06-11,"A photo of a tortoiseshell cat lying on its back. The photo is slightly blurry as if the cat is moving around. The cat’s front paws are wrapped around the leg of a table, and its belly is exposed.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,526 KB,2023-06-11 5:28:44 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll012,012.jpg,Yennifer Climbing,"Burba, Elisa",2023-04-25,"A photo of a tortoiseshell cat climbing up a wicker cat tree. The cat is slightly blurry, clearly in motion, and its front legs are clasped onto one of the baskets attached to the tree.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,489 KB,2023-04-25 8:28:14 AM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll013,013.jpg,Yennifer the Gargoyle,"Burba, Elisa",2023-04-01,"A photo of a tortoiseshell cat sitting on top of dark brown cabinets. The photo is zoomed in, creating a slightly blurry look. The cat’s front paws are visible over the edge of the cabinet, and its haunches are up.","cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,276 KB,2023-04-01 1:15:40 AM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll014,014.jpg,Yennifer Loafing,"Burba, Elisa",2023-03-19,A photo of a tortoiseshell cat sitting on a gray carpet. The cat is in a loaf position in a patch of sunshine.,"cat, domestic;photography of cats;tortoiseshell cats",Image;StillImage,image/jpeg,1.6 MB,2023-03-19 12:24:31 AM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."
coll015,015.jpg,Our First Meeting,"Tucker, Ashley",2023-01-20,"A photo of a tortoiseshell cat being held by a woman wearing a long black coat. She is crouched on a concrete floor, and the cat is sitting in her arms.","cat, domestic;photography of cats;tortoiseshell cats;cat adoption",Image;StillImage,image/jpeg,1.2 MB,2023-01-20 12:58:49 PM,CC BY-NA-SA 4.0,"This work is licensed under CC BY-NC-SA 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by-nc-sa/4.0/."